#------------------------------------------------------------------------------
# RUNTIME LES STATISTICAL DATA
#
# Simulation run at:
# 08/31/2017  16:22:58
#
# Field description:
# N         =        256       256       256
# length    =   6.283185  6.283185  6.283185
# nu        =   0.002800
# CFL       =   0.100000
# sgs model =      NONE 
# model c   =   0.200000
#------------------------------------------------------------------------------
# step                     time              E_11(k_1=0)             E_22(k_2=0)             E_33(k_3=0)
1120813      0.114108790616E+03       0.131847215680E+01      0.126049317249E+01      0.145543796103E+01
1120873      0.114120095706E+03       0.130931778645E+01      0.125105641010E+01      0.144080387935E+01
1120976      0.114140055110E+03       0.129312198695E+01      0.123521261721E+01      0.141515234056E+01
1121076      0.114160065372E+03       0.127698849578E+01      0.121938551376E+01      0.139013413895E+01
1121174      0.114180078759E+03       0.126094054152E+01      0.120271961919E+01      0.136594504832E+01
1121269      0.114200018865E+03       0.124500779940E+01      0.118515958603E+01      0.134268177215E+01
1121362      0.114220171375E+03       0.122900746798E+01      0.116734703918E+01      0.132008164624E+01
1121454      0.114240124122E+03       0.121331043391E+01      0.115021462206E+01      0.129841960542E+01
1121550      0.114260095245E+03       0.119779809831E+01      0.113344066307E+01      0.127727151955E+01
1121649      0.114280164352E+03       0.118231573664E+01      0.111671114709E+01      0.125681114871E+01
1121750      0.114300038093E+03       0.116708038029E+01      0.110018263926E+01      0.123759120314E+01
1121854      0.114320104579E+03       0.115168327296E+01      0.108389735563E+01      0.121942123649E+01
1121959      0.114340166782E+03       0.113615314001E+01      0.106787519103E+01      0.120237542995E+01
1122060      0.114360079048E+03       0.112090635661E+01      0.105211386861E+01      0.118605315407E+01
1122157      0.114380162769E+03       0.110612782444E+01      0.103683300543E+01      0.116978439363E+01
1122250      0.114400201094E+03       0.109186091674E+01      0.102221088350E+01      0.115398062243E+01
1122342      0.114420007327E+03       0.107783651492E+01      0.100840281296E+01      0.113918511525E+01
1122437      0.114440002940E+03       0.106349838877E+01      0.995109034834E+00      0.112510955548E+01
1122535      0.114460175394E+03       0.104909588709E+01      0.982303387471E+00      0.111169920345E+01
1122630      0.114480176147E+03       0.103525919034E+01      0.970035498456E+00      0.109897352238E+01
