#------------------------------------------------------------------------------
# RUNTIME LES STATISTICAL DATA
#
# Simulation run at:
# 08/31/2017  16:22:58
#
# Field description:
# N         =        256       256       256
# length    =   6.283185  6.283185  6.283185
# nu        =   0.002800
# CFL       =   0.100000
# sgs model =      NONE 
# model c   =   0.200000
#------------------------------------------------------------------------------
# step                     time          L_11/(1/3*L_ii)         L_22/(1/3*L_ii)         L_33/(1/3*L_ii)
1120813      0.114108790616E+03       0.993511220271E+00      0.994544900546E+00      0.101194387918E+01
1120873      0.114120095706E+03       0.994382008389E+00      0.994331334661E+00      0.101128665695E+01
1120976      0.114140055110E+03       0.995647310108E+00      0.994213736496E+00      0.101013895340E+01
1121076      0.114160065372E+03       0.996711925911E+00      0.993897784235E+00      0.100939028985E+01
1121174      0.114180078759E+03       0.997737971293E+00      0.992941645585E+00      0.100932038312E+01
1121269      0.114200018865E+03       0.998768043067E+00      0.991264430835E+00      0.100996752610E+01
1121362      0.114220171375E+03       0.999652102749E+00      0.989249445406E+00      0.101109845185E+01
1121454      0.114240124122E+03       0.100036794194E+01      0.987254449736E+00      0.101237760832E+01
1121550      0.114260095245E+03       0.100104176738E+01      0.985226654563E+00      0.101373157806E+01
1121649      0.114280164352E+03       0.100156450860E+01      0.982997863627E+00      0.101543762777E+01
1121750      0.114300038093E+03       0.100185259972E+01      0.980491046379E+00      0.101765635390E+01
1121854      0.114320104579E+03       0.100170090983E+01      0.977887400980E+00      0.102041168919E+01
1121959      0.114340166782E+03       0.100110516444E+01      0.975256624785E+00      0.102363821077E+01
1122060      0.114360079048E+03       0.100040225730E+01      0.972633559566E+00      0.102696418313E+01
1122157      0.114380162769E+03       0.999810014869E+00      0.970216894765E+00      0.102997309037E+01
1122250      0.114400201094E+03       0.999232130504E+00      0.967915681759E+00      0.103285218774E+01
1122342      0.114420007327E+03       0.998341791008E+00      0.965685613758E+00      0.103597259523E+01
1122437      0.114440002940E+03       0.996965950675E+00      0.963523660746E+00      0.103951038858E+01
1122535      0.114460175394E+03       0.995266873115E+00      0.961392951535E+00      0.104334017535E+01
1122630      0.114480176147E+03       0.993605050484E+00      0.959233567805E+00      0.104716138171E+01
1122721      0.114500179176E+03       0.991943121824E+00      0.957120816213E+00      0.105093606196E+01
1122810      0.114520145218E+03       0.990075961105E+00      0.955031052214E+00      0.105489298668E+01
1122897      0.114540017165E+03       0.988336639131E+00      0.952673952851E+00      0.105898940802E+01
