#------------------------------------------------------------------------------
# RUNTIME LES STATISTICAL DATA
#
# Simulation run at:
# 08/31/2017  16:22:58
#
# Field description:
# N         =        256       256       256
# length    =   6.283185  6.283185  6.283185
# nu        =   0.002800
# CFL       =   0.100000
# sgs model =      NONE 
# model c   =   0.200000
#------------------------------------------------------------------------------
# step                     time            <u^2>/<uii^2>           <v^2>/<uii^2>           <w^2>/<uii^2>
1120813      0.114108790616E+03       0.987229569944E+00      0.942835814188E+00      0.106993461587E+01
1120873      0.114120095706E+03       0.987628343905E+00      0.943729438000E+00      0.106864221809E+01
1120976      0.114140055110E+03       0.988382060724E+00      0.945481080623E+00      0.106613685865E+01
1121076      0.114160065372E+03       0.989274477321E+00      0.947324531095E+00      0.106340099158E+01
1121174      0.114180078759E+03       0.990334843895E+00      0.949171350556E+00      0.106049380555E+01
1121269      0.114200018865E+03       0.991529399802E+00      0.951010852034E+00      0.105745974816E+01
1121362      0.114220171375E+03       0.992798425703E+00      0.952905014769E+00      0.105429655953E+01
1121454      0.114240124122E+03       0.994022512327E+00      0.954847110265E+00      0.105113037741E+01
1121550      0.114260095245E+03       0.995202755666E+00      0.956847629700E+00      0.104794961463E+01
1121649      0.114280164352E+03       0.996400824160E+00      0.958887841380E+00      0.104471133446E+01
1121750      0.114300038093E+03       0.997617092805E+00      0.960921915288E+00      0.104146099191E+01
1121854      0.114320104579E+03       0.998847311874E+00      0.962949296465E+00      0.103820339166E+01
1121959      0.114340166782E+03       0.100006450863E+01      0.964878060579E+00      0.103505743079E+01
1122060      0.114360079048E+03       0.100127574716E+01      0.966657272993E+00      0.103206697984E+01
1122157      0.114380162769E+03       0.100249862398E+01      0.968357970389E+00      0.102914340563E+01
1122250      0.114400201094E+03       0.100368310852E+01      0.970060139416E+00      0.102625675206E+01
1122342      0.114420007327E+03       0.100477426692E+01      0.971836373252E+00      0.102338935983E+01
1122437      0.114440002940E+03       0.100576488395E+01      0.973751732933E+00      0.102048338312E+01
1122535      0.114460175394E+03       0.100665332727E+01      0.975773469779E+00      0.101757320295E+01
1122630      0.114480176147E+03       0.100744676712E+01      0.977800066983E+00      0.101475316590E+01
1122721      0.114500179176E+03       0.100818499483E+01      0.979774128055E+00      0.101204087712E+01
1122810      0.114520145218E+03       0.100889529390E+01      0.981627810992E+00      0.100947689511E+01
1122897      0.114540017165E+03       0.100957962277E+01      0.983336589651E+00      0.100708378758E+01
1122984      0.114560191188E+03       0.101025348656E+01      0.984943375816E+00      0.100480313762E+01
1123068      0.114580201911E+03       0.101092991498E+01      0.986407977099E+00      0.100266210792E+01
1123150      0.114600122277E+03       0.101162890519E+01      0.987736765401E+00      0.100063432941E+01
1123230      0.114620106563E+03       0.101233788173E+01      0.988956898151E+00      0.998705220117E+00
1123311      0.114640107636E+03       0.101301733499E+01      0.990094652841E+00      0.996888012173E+00
1123399      0.114660120084E+03       0.101367021861E+01      0.991146211958E+00      0.995183569428E+00
1123492      0.114680201133E+03       0.101435742519E+01      0.992029555523E+00      0.993613019284E+00
1123585      0.114700001849E+03       0.101508336834E+01      0.992669314548E+00      0.992247317115E+00
1123678      0.114720008794E+03       0.101585965143E+01      0.993065798916E+00      0.991074549649E+00
1123768      0.114740035223E+03       0.101670989268E+01      0.993173296992E+00      0.990116810324E+00
1123859      0.114760210289E+03       0.101767650763E+01      0.992968371689E+00      0.989355120685E+00
1123950      0.114780166251E+03       0.101877044284E+01      0.992470848823E+00      0.988758708340E+00
1124038      0.114800053689E+03       0.102001438041E+01      0.991730261420E+00      0.988255358172E+00
1124122      0.114820090541E+03       0.102140391224E+01      0.990820351216E+00      0.987775736543E+00
1124205      0.114840158805E+03       0.102287075430E+01      0.989835432117E+00      0.987293813587E+00
1124286      0.114860049822E+03       0.102433367968E+01      0.988845972277E+00      0.986820348047E+00
1124367      0.114880027770E+03       0.102578286767E+01      0.987854286871E+00      0.986362845459E+00
1124449      0.114900043294E+03       0.102719548674E+01      0.986860939188E+00      0.985943574072E+00
1124528      0.114920193803E+03       0.102853739279E+01      0.985878546221E+00      0.985584060985E+00
1124607      0.114940145797E+03       0.102974577809E+01      0.984957216087E+00      0.985297005822E+00
1124687      0.114960135377E+03       0.103081072541E+01      0.984112987829E+00      0.985076286764E+00
1124766      0.114980049302E+03       0.103171628228E+01      0.983371191373E+00      0.984912526351E+00
1124844      0.115000193434E+03       0.103247900805E+01      0.982747451392E+00      0.984773540563E+00
1124919      0.115020007290E+03       0.103309714998E+01      0.982282581672E+00      0.984620268345E+00
1124995      0.115040257340E+03       0.103363018604E+01      0.981978334607E+00      0.984391479353E+00
1125069      0.115060256232E+03       0.103411179712E+01      0.981858576930E+00      0.984029625952E+00
1125141      0.115080051258E+03       0.103459957797E+01      0.981915187866E+00      0.983485234167E+00
1125218      0.115100096542E+03       0.103516302862E+01      0.982117591450E+00      0.982719379926E+00
1125299      0.115120237738E+03       0.103586803663E+01      0.982395656649E+00      0.981736306719E+00
1125378      0.115140013101E+03       0.103675559354E+01      0.982653457384E+00      0.980590949076E+00
1125456      0.115160206375E+03       0.103790047116E+01      0.982810549374E+00      0.979288979467E+00
1125530      0.115180228967E+03       0.103929370395E+01      0.982768870953E+00      0.977937425095E+00
1125600      0.115200088413E+03       0.104093433041E+01      0.982454914950E+00      0.976610754644E+00
1125669      0.115220206227E+03       0.104284783308E+01      0.981813578487E+00      0.975338588431E+00
1125738      0.115240267180E+03       0.104498838567E+01      0.980837106669E+00      0.974174507662E+00
1125806      0.115260222263E+03       0.104732521929E+01      0.979549404053E+00      0.973125376661E+00
1125873      0.115280135443E+03       0.104982813849E+01      0.978004807992E+00      0.972167053513E+00
1125940      0.115300135745E+03       0.105245532870E+01      0.976283840870E+00      0.971260830429E+00
1126007      0.115320183799E+03       0.105512556298E+01      0.974491897010E+00      0.970382540014E+00
1126074      0.115340156941E+03       0.105775183831E+01      0.972725278452E+00      0.969522883241E+00
1126141      0.115360199650E+03       0.106031512977E+01      0.971018987773E+00      0.968665882454E+00
1126207      0.115380029582E+03       0.106278412282E+01      0.969402940306E+00      0.967812936874E+00
1126273      0.115400137797E+03       0.106525666387E+01      0.967817830238E+00      0.966925505894E+00
1126341      0.115420027491E+03       0.106771675951E+01      0.966277211916E+00      0.966006028573E+00
1126412      0.115440002984E+03       0.107023256498E+01      0.964737588363E+00      0.965029846657E+00
1126484      0.115460137397E+03       0.107282273719E+01      0.963183752566E+00      0.963993510242E+00
1126555      0.115480151141E+03       0.107543767914E+01      0.961635523645E+00      0.962926797211E+00
1126625      0.115500236089E+03       0.107807145108E+01      0.960082443428E+00      0.961846105493E+00
1126692      0.115520222368E+03       0.108067189633E+01      0.958542273825E+00      0.960785829843E+00
1126757      0.115540032776E+03       0.108321835956E+01      0.957014466064E+00      0.959767174378E+00
1126824      0.115560092204E+03       0.108577180226E+01      0.955447386719E+00      0.958780811024E+00
1126891      0.115580106190E+03       0.108830269022E+01      0.953843470730E+00      0.957853839054E+00
1126957      0.115600003802E+03       0.109080016148E+01      0.952194694563E+00      0.957005143956E+00
1127023      0.115620309033E+03       0.109331240772E+01      0.950446397943E+00      0.956241194336E+00
1127086      0.115640200123E+03       0.109570668696E+01      0.948664682872E+00      0.955628630168E+00
1127148      0.115660327810E+03       0.109802217499E+01      0.946800111319E+00      0.955177713695E+00
1127208      0.115680187231E+03       0.110016273441E+01      0.944928185913E+00      0.954909079674E+00
1127269      0.115700307296E+03       0.110215773299E+01      0.943049334096E+00      0.954792932912E+00
1127329      0.115720054101E+03       0.110393312911E+01      0.941284748891E+00      0.954782122004E+00
1127390      0.115740132235E+03       0.110554860320E+01      0.939638831060E+00      0.954812565744E+00
1127451      0.115760269372E+03       0.110697640999E+01      0.938200761266E+00      0.954822828743E+00
1127511      0.115780203714E+03       0.110820363667E+01      0.937032596189E+00      0.954763767139E+00
1127570      0.115800005362E+03       0.110924521140E+01      0.936149105499E+00      0.954605683096E+00
1127629      0.115820076353E+03       0.111012507091E+01      0.935544225052E+00      0.954330704039E+00
1127687      0.115840185667E+03       0.111083088121E+01      0.935226036450E+00      0.953943082342E+00
1127743      0.115860071575E+03       0.111135963303E+01      0.935173232818E+00      0.953467134152E+00
1127799      0.115880184407E+03       0.111173729792E+01      0.935347383654E+00      0.952915318423E+00
1127854      0.115900283710E+03       0.111198307981E+01      0.935708591230E+00      0.952308328956E+00
