#------------------------------------------------------------------------------
# RUNTIME LES STATISTICAL DATA
#
# Simulation run at:
# 08/31/2017  16:22:58
#
# Field description:
# N         =        256       256       256
# length    =   6.283185  6.283185  6.283185
# nu        =   0.002800
# CFL       =   0.100000
# sgs model =      NONE 
# model c   =   0.200000
#------------------------------------------------------------------------------
# step                     time                     b_11                    b_22                    b_33
1120813      0.114108790616E+03      -0.425681001881E-02     -0.190547286040E-01      0.233115386228E-01
1120873      0.114120095706E+03      -0.412388536483E-02     -0.187568540000E-01      0.228807393649E-01
1120976      0.114140055110E+03      -0.387264642543E-02     -0.181729731256E-01      0.220456195510E-01
1121076      0.114160065372E+03      -0.357517422642E-02     -0.175584896349E-01      0.211336638613E-01
1121174      0.114180078759E+03      -0.322171870167E-02     -0.169428831481E-01      0.201646018498E-01
1121269      0.114200018865E+03      -0.282353339934E-02     -0.163297159887E-01      0.191532493880E-01
1121362      0.114220171375E+03      -0.240052476569E-02     -0.156983284103E-01      0.180988531760E-01
1121454      0.114240124122E+03      -0.199249589100E-02     -0.150509632450E-01      0.170434591360E-01
1121550      0.114260095245E+03      -0.159908144463E-02     -0.143841234333E-01      0.159832048780E-01
1121649      0.114280164352E+03      -0.119972528016E-02     -0.137040528732E-01      0.149037781534E-01
1121750      0.114300038093E+03      -0.794302398358E-03     -0.130260282373E-01      0.138203306357E-01
1121854      0.114320104579E+03      -0.384229375452E-03     -0.123502345115E-01      0.127344638870E-01
1121959      0.114340166782E+03       0.215028778981E-04     -0.117073131404E-01      0.116858102625E-01
1122060      0.114360079048E+03       0.425249054783E-03     -0.111142423358E-01      0.106889932810E-01
1122157      0.114380162769E+03       0.832874661312E-03     -0.105473432037E-01      0.971446854235E-02
1122250      0.114400201094E+03       0.122770284045E-02     -0.997995352795E-02      0.875225068750E-02
1122342      0.114420007327E+03       0.159142230679E-02     -0.938787558259E-02      0.779645327580E-02
1122437      0.114440002940E+03       0.192162798356E-02     -0.874942235580E-02      0.682779437225E-02
1122535      0.114460175394E+03       0.221777575588E-02     -0.807551007358E-02      0.585773431771E-02
1122630      0.114480176147E+03       0.248225570635E-02     -0.739997767235E-02      0.491772196600E-02
1122721      0.114500179176E+03       0.272833160947E-02     -0.674195731490E-02      0.401362570543E-02
1122810      0.114520145218E+03       0.296509796632E-02     -0.612406300260E-02      0.315896503628E-02
1122897      0.114540017165E+03       0.319320758955E-02     -0.555447011634E-02      0.236126252680E-02
1122984      0.114560191188E+03       0.341782885357E-02     -0.501887472788E-02      0.160104587431E-02
1123068      0.114580201911E+03       0.364330499294E-02     -0.453067430039E-02      0.887369307450E-03
1123150      0.114600122277E+03       0.387630172885E-02     -0.408774486638E-02      0.211443137534E-03
1123230      0.114620106563E+03       0.411262724401E-02     -0.368103394973E-02     -0.431593294273E-03
1123311      0.114640107636E+03       0.433911166212E-02     -0.330178238634E-02     -0.103732927579E-02
1123399      0.114660120084E+03       0.455673953823E-02     -0.295126268077E-02     -0.160547685746E-02
1123492      0.114680201133E+03       0.478580839786E-02     -0.265681482580E-02     -0.212899357206E-02
1123585      0.114700001849E+03       0.502778944561E-02     -0.244356181742E-02     -0.258422762819E-02
1123678      0.114720008794E+03       0.528655047832E-02     -0.231140036120E-02     -0.297515011712E-02
1123768      0.114740035223E+03       0.556996422782E-02     -0.227556766929E-02     -0.329439655854E-02
1123859      0.114760210289E+03       0.589216920878E-02     -0.234387610372E-02     -0.354829310506E-02
1123950      0.114780166251E+03       0.625681427907E-02     -0.250971705895E-02     -0.374709722011E-02
1124038      0.114800053689E+03       0.667146013597E-02     -0.275657952665E-02     -0.391488060932E-02
1124122      0.114820090541E+03       0.713463741353E-02     -0.305988292801E-02     -0.407475448551E-02
1124205      0.114840158805E+03       0.762358476505E-02     -0.338818929419E-02     -0.423539547085E-02
1124286      0.114860049822E+03       0.811122655890E-02     -0.371800924115E-02     -0.439321731775E-02
1124367      0.114880027770E+03       0.859428922345E-02     -0.404857104311E-02     -0.454571818034E-02
1124449      0.114900043294E+03       0.906516224658E-02     -0.437968693722E-02     -0.468547530936E-02
1124528      0.114920193803E+03       0.951246426461E-02     -0.470715125950E-02     -0.480531300511E-02
1124607      0.114940145797E+03       0.991525936386E-02     -0.501426130441E-02     -0.490099805944E-02
1124687      0.114960135377E+03       0.102702418023E-01     -0.529567072372E-02     -0.497457107855E-02
1124766      0.114980049302E+03       0.105720940921E-01     -0.554293620916E-02     -0.502915788297E-02
1124844      0.115000193434E+03       0.108263360151E-01     -0.575084953605E-02     -0.507548647904E-02
1124919      0.115020007290E+03       0.110323833278E-01     -0.590580610930E-02     -0.512657721849E-02
1124995      0.115040257340E+03       0.112100620136E-01     -0.600722179776E-02     -0.520284021582E-02
1125069      0.115060256232E+03       0.113705990393E-01     -0.604714102343E-02     -0.532345801592E-02
1125141      0.115080051258E+03       0.115331926556E-01     -0.602827071141E-02     -0.550492194421E-02
1125218      0.115100096542E+03       0.117210095413E-01     -0.596080284995E-02     -0.576020669132E-02
1125299      0.115120237738E+03       0.119560122106E-01     -0.586811445027E-02     -0.608789776028E-02
1125378      0.115140013101E+03       0.122518645135E-01     -0.578218087202E-02     -0.646968364147E-02
1125456      0.115160206375E+03       0.126334903862E-01     -0.572981687527E-02     -0.690367351092E-02
