#------------------------------------------------------------------------------
# RUNTIME LES STATISTICAL DATA
#
# Simulation run at:
# 08/31/2017  16:22:58
#
# Field description:
# N         =        256       256       256
# length    =   6.283185  6.283185  6.283185
# nu        =   0.002800
# CFL       =   0.100000
# sgs model =      NONE 
# model c   =   0.200000
#------------------------------------------------------------------------------
# step                     time                    diss                    dissx                   dissy                   dissz
1120813      0.114108790616E+03       0.129444768659E+01      0.435072249324E+00      0.426974980761E+00      0.432400456506E+00
1120873      0.114120095706E+03       0.129465805522E+01      0.434819579300E+00      0.427429640939E+00      0.432408834982E+00
1120976      0.114140055110E+03       0.129481161280E+01      0.434346496800E+00      0.428328186318E+00      0.432136929679E+00
1121076      0.114160065372E+03       0.129466127442E+01      0.434136448729E+00      0.429059956293E+00      0.431464869398E+00
1121174      0.114180078759E+03       0.129421641393E+01      0.434229369947E+00      0.429447268145E+00      0.430539775840E+00
1121269      0.114200018865E+03       0.129339785650E+01      0.434347587219E+00      0.429518975543E+00      0.429531293741E+00
1121362      0.114220171375E+03       0.129214661295E+01      0.434220156722E+00      0.429283233063E+00      0.428643223165E+00
1121454      0.114240124122E+03       0.129053948909E+01      0.433696108077E+00      0.428722483055E+00      0.428120897957E+00
1121550      0.114260095245E+03       0.128865759798E+01      0.432857140914E+00      0.427878460758E+00      0.427921996306E+00
1121649      0.114280164352E+03       0.128642075131E+01      0.431883288833E+00      0.426861605053E+00      0.427675857421E+00
1121750      0.114300038093E+03       0.128377430801E+01      0.430794682403E+00      0.425855982614E+00      0.427123642989E+00
1121854      0.114320104579E+03       0.128056544786E+01      0.429481231516E+00      0.424828910957E+00      0.426255305392E+00
1121959      0.114340166782E+03       0.127674384130E+01      0.427951394343E+00      0.423548949175E+00      0.425243497786E+00
1122060      0.114360079048E+03       0.127241618101E+01      0.426326965659E+00      0.421832575255E+00      0.424256640092E+00
1122157      0.114380162769E+03       0.126774507318E+01      0.424697160370E+00      0.419714091511E+00      0.423333821300E+00
1122250      0.114400201094E+03       0.126304776546E+01      0.423134699901E+00      0.417510445425E+00      0.422402620139E+00
1122342      0.114420007327E+03       0.125847120829E+01      0.421613145309E+00      0.415593073733E+00      0.421264989252E+00
1122437      0.114440002940E+03       0.125388641914E+01      0.420039426884E+00      0.414073797839E+00      0.419773194416E+00
1122535      0.114460175394E+03       0.124928928939E+01      0.418461258448E+00      0.412858062142E+00      0.417969968797E+00
1122630      0.114480176147E+03       0.124475908787E+01      0.416928585057E+00      0.411789292318E+00      0.416041210491E+00
1122721      0.114500179176E+03       0.124021736446E+01      0.415317597221E+00      0.410807489912E+00      0.414092277323E+00
1122810      0.114520145218E+03       0.123559898411E+01      0.413534884190E+00      0.409833605201E+00      0.412230494721E+00
1122897      0.114540017165E+03       0.123081177239E+01      0.411534775298E+00      0.408781418555E+00      0.410495578534E+00
1122984      0.114560191188E+03       0.122569917669E+01      0.409244676693E+00      0.407633294674E+00      0.408821205318E+00
1123068      0.114580201911E+03       0.122048364697E+01      0.406917052990E+00      0.406358607770E+00      0.407207986208E+00
1123150      0.114600122277E+03       0.121518637501E+01      0.404763598785E+00      0.404865580129E+00      0.405557196101E+00
1123230      0.114620106563E+03       0.120970665024E+01      0.402753158117E+00      0.403210594177E+00      0.403742897944E+00
