#------------------------------------------------------------------------------
# RUNTIME LES STATISTICAL DATA
#
# Simulation run at:
# 08/31/2017  16:22:58
#
# Field description:
# N         =        256       256       256
# length    =   6.283185  6.283185  6.283185
# nu        =   0.002800
# CFL       =   0.100000
# sgs model =      NONE 
# model c   =   0.200000
#------------------------------------------------------------------------------
# step                     time                     L_11                    L_22                    L_33
1120813      0.114108790616E+03       0.104778998013E+01      0.104888013373E+01      0.106722967534E+01
1120873      0.114120095706E+03       0.104518819760E+01      0.104513493479E+01      0.106295655926E+01
1120976      0.114140055110E+03       0.104046941875E+01      0.103897130844E+01      0.105561344768E+01
1121076      0.114160065372E+03       0.103561742505E+01      0.103269343660E+01      0.104879067429E+01
1121174      0.114180078759E+03       0.103059903080E+01      0.102564473541E+01      0.104256291586E+01
1121269      0.114200018865E+03       0.102543920574E+01      0.101773521659E+01      0.103693776045E+01
1121362      0.114220171375E+03       0.102017916033E+01      0.100956289272E+01      0.103186055106E+01
1121454      0.114240124122E+03       0.101505683533E+01      0.100175079128E+01      0.102724284553E+01
1121550      0.114260095245E+03       0.101007245673E+01      0.994114671177E+00      0.102287674589E+01
1121649      0.114280164352E+03       0.100506827285E+01      0.986436676339E+00      0.101898992422E+01
1121750      0.114300038093E+03       0.100008970163E+01      0.978765736895E+00      0.101586564692E+01
1121854      0.114320104579E+03       0.994968436356E+00      0.971314979093E+00      0.101355345980E+01
1121959      0.114340166782E+03       0.989655067414E+00      0.964102169313E+00      0.101193039301E+01
1122060      0.114360079048E+03       0.984430513592E+00      0.957105152043E+00      0.101056836973E+01
1122157      0.114380162769E+03       0.979592091126E+00      0.950597396159E+00      0.100914521598E+01
1122250      0.114400201094E+03       0.975132828081E+00      0.944571663864E+00      0.100794204277E+01
1122342      0.114420007327E+03       0.970784639564E+00      0.939029868256E+00      0.100737672360E+01
1122437      0.114440002940E+03       0.966249000934E+00      0.933837082341E+00      0.100748262641E+01
1122535      0.114460175394E+03       0.961739308469E+00      0.929006498009E+00      0.100819316491E+01
1122630      0.114480176147E+03       0.957662333054E+00      0.924534206062E+00      0.100928131495E+01
1122721      0.114500179176E+03       0.953764222861E+00      0.920282192975E+00      0.101048658372E+01
1122810      0.114520145218E+03       0.949583113748E+00      0.915971497051E+00      0.101174920543E+01
1122897      0.114540017165E+03       0.945367924907E+00      0.911255702016E+00      0.101294900899E+01
1122984      0.114560191188E+03       0.941427480673E+00      0.906022439199E+00      0.101381583442E+01
1123068      0.114580201911E+03       0.937952944464E+00      0.900435260328E+00      0.101393943352E+01
1123150      0.114600122277E+03       0.935101335170E+00      0.894546606741E+00      0.101331676730E+01
1123230      0.114620106563E+03       0.932818212126E+00      0.888629225469E+00      0.101247963189E+01
1123311      0.114640107636E+03       0.930697834147E+00      0.882675986862E+00      0.101190579779E+01
1123399      0.114660120084E+03       0.928445984497E+00      0.876641027451E+00      0.101162571790E+01
1123492      0.114680201133E+03       0.925738012312E+00      0.870768695744E+00      0.101157181482E+01
1123585      0.114700001849E+03       0.922857135063E+00      0.865447983456E+00      0.101153886013E+01
1123678      0.114720008794E+03       0.919992025815E+00      0.860863983245E+00      0.101142574332E+01
1123768      0.114740035223E+03       0.917095693983E+00      0.857016130057E+00      0.101108980236E+01
1123859      0.114760210289E+03       0.913921832540E+00      0.853366450548E+00      0.101032495031E+01
1123950      0.114780166251E+03       0.910455184390E+00      0.849639803559E+00      0.100920651494E+01
1124038      0.114800053689E+03       0.906540716916E+00      0.846017606849E+00      0.100772143191E+01
1124122      0.114820090541E+03       0.902065747401E+00      0.842607057090E+00      0.100574307802E+01
1124205      0.114840158805E+03       0.897253795372E+00      0.839346326951E+00      0.100308791261E+01
1124286      0.114860049822E+03       0.892300708814E+00      0.836128762183E+00      0.999905423069E+00
1124367      0.114880027770E+03       0.886948184916E+00      0.832989037472E+00      0.996490191819E+00
1124449      0.114900043294E+03       0.881142842627E+00      0.830163043659E+00      0.992958327973E+00
1124528      0.114920193803E+03       0.875148347560E+00      0.827856789477E+00      0.989463750577E+00
1124607      0.114940145797E+03       0.869419504290E+00      0.826118173880E+00      0.986077345589E+00
1124687      0.114960135377E+03       0.863978453466E+00      0.825116114609E+00      0.982553925072E+00
1124766      0.114980049302E+03       0.859004925521E+00      0.824958793451E+00      0.978894028958E+00
1124844      0.115000193434E+03       0.854562828618E+00      0.825536880539E+00      0.975140145059E+00
1124919      0.115020007290E+03       0.850808586145E+00      0.826515914566E+00      0.971411988161E+00
1124995      0.115040257340E+03       0.847466563940E+00      0.827508103492E+00      0.967680420714E+00
1125069      0.115060256232E+03       0.844435897739E+00      0.828348149405E+00      0.964299692276E+00
1125141      0.115080051258E+03       0.841771879366E+00      0.829117980179E+00      0.961299620852E+00
1125218      0.115100096542E+03       0.839548953585E+00      0.829710321634E+00      0.958395907887E+00
1125299      0.115120237738E+03       0.837701617655E+00      0.829855542017E+00      0.955273952887E+00
1125378      0.115140013101E+03       0.836047432798E+00      0.829465527299E+00      0.951904241742E+00
1125456      0.115160206375E+03       0.834360414746E+00      0.828603668699E+00      0.948230234894E+00
1125530      0.115180228967E+03       0.832806420169E+00      0.827476536644E+00      0.944375833578E+00
1125600      0.115200088413E+03       0.831656913504E+00      0.826319541991E+00      0.940271894435E+00
1125669      0.115220206227E+03       0.830988886088E+00      0.825356661854E+00      0.935873583684E+00
1125738      0.115240267180E+03       0.830822508230E+00      0.824842456859E+00      0.931510544686E+00
1125806      0.115260222263E+03       0.831198445729E+00      0.824799854042E+00      0.927447937642E+00
1125873      0.115280135443E+03       0.832150611962E+00      0.825041354906E+00      0.923787567452E+00
1125940      0.115300135745E+03       0.833654632540E+00      0.825317911203E+00      0.920576232288E+00
1126007      0.115320183799E+03       0.835626975434E+00      0.825379582746E+00      0.917831186036E+00
1126074      0.115340156941E+03       0.838014279716E+00      0.825154613873E+00      0.915536606635E+00
1126141      0.115360199650E+03       0.840859132780E+00      0.824697121294E+00      0.913598353811E+00
1126207      0.115380029582E+03       0.844107970164E+00      0.824042316646E+00      0.911805095134E+00
1126273      0.115400137797E+03       0.847886780861E+00      0.823199789839E+00      0.909912643992E+00
1126341      0.115420027491E+03       0.852071167976E+00      0.822223424950E+00      0.908006902136E+00
1126412      0.115440002984E+03       0.856392396921E+00      0.821069136615E+00      0.906274227682E+00
1126484      0.115460137397E+03       0.860428752963E+00      0.819745644402E+00      0.904780747437E+00
1126555      0.115480151141E+03       0.863819619347E+00      0.818255974233E+00      0.903421557606E+00
1126625      0.115500236089E+03       0.866537472959E+00      0.816552906043E+00      0.902009299837E+00
1126692      0.115520222368E+03       0.868777692085E+00      0.814701065901E+00      0.900382515110E+00
1126757      0.115540032776E+03       0.870761778696E+00      0.812789250066E+00      0.898453177909E+00
1126824      0.115560092204E+03       0.872589987325E+00      0.810811703568E+00      0.896162573054E+00
1126891      0.115580106190E+03       0.874250483891E+00      0.808780710553E+00      0.893579800369E+00
1126957      0.115600003802E+03       0.875793697459E+00      0.806703217787E+00      0.890825675453E+00
1127023      0.115620309033E+03       0.877379642199E+00      0.804484090371E+00      0.887971733792E+00
1127086      0.115640200123E+03       0.879114230848E+00      0.802216782136E+00      0.885198788032E+00
1127148      0.115660327810E+03       0.881181541273E+00      0.799926076732E+00      0.882343443534E+00
1127208      0.115680187231E+03       0.883511438348E+00      0.797785465323E+00      0.879373142799E+00
1127269      0.115700307296E+03       0.886022391582E+00      0.795834374858E+00      0.876223551986E+00
1127329      0.115720054101E+03       0.888472883530E+00      0.794117372483E+00      0.873100671990E+00
1127390      0.115740132235E+03       0.890935445951E+00      0.792471976058E+00      0.870033210336E+00
1127451      0.115760269372E+03       0.893407501632E+00      0.790804881112E+00      0.867248067859E+00
1127511      0.115780203714E+03       0.895848159560E+00      0.789090749323E+00      0.864995646690E+00
1127570      0.115800005362E+03       0.898321365688E+00      0.787267615799E+00      0.863400528424E+00
1127629      0.115820076353E+03       0.900951922856E+00      0.785220879724E+00      0.862448903721E+00
1127687      0.115840185667E+03       0.903690579388E+00      0.782988171236E+00      0.862114731158E+00
1127743      0.115860071575E+03       0.906416943188E+00      0.780716816999E+00      0.862259686295E+00
1127799      0.115880184407E+03       0.909119821653E+00      0.778512747694E+00      0.862712204637E+00
1127854      0.115900283710E+03       0.911742493113E+00      0.776459648071E+00      0.863424977117E+00
1127907      0.115920244957E+03       0.914261942055E+00      0.774524747192E+00      0.864414246581E+00
1127960      0.115940254947E+03       0.916623346777E+00      0.772714103883E+00      0.865687838723E+00
1128013      0.115960178059E+03       0.918756132451E+00      0.771141277565E+00      0.867232897871E+00
1128066      0.115980180306E+03       0.920740109136E+00      0.769751151074E+00      0.869034619538E+00
1128119      0.116000201174E+03       0.922679020073E+00      0.768413966311E+00      0.870921446264E+00
1128172      0.116020093787E+03       0.924683395409E+00      0.767096411836E+00      0.872713469123E+00
1128226      0.116040331639E+03       0.926884641884E+00      0.765814264110E+00      0.874468756426E+00
1128279      0.116060163495E+03       0.929233479136E+00      0.764695595315E+00      0.876062436368E+00
1128333      0.116080334616E+03       0.931806590001E+00      0.763769632878E+00      0.877363346198E+00
1128386      0.116100200422E+03       0.934508134315E+00      0.763048088708E+00      0.878254834547E+00
1128439      0.116120299672E+03       0.937410203987E+00      0.762350048154E+00      0.878814340246E+00
1128491      0.116140330634E+03       0.940453513477E+00      0.761490415498E+00      0.879134099479E+00
1128542      0.116160393334E+03       0.943583946564E+00      0.760377691073E+00      0.879343027573E+00
1128592      0.116180224716E+03       0.946684516554E+00      0.759050941403E+00      0.879540728032E+00
1128643      0.116200379562E+03       0.949786089579E+00      0.757541310984E+00      0.879827028844E+00
1128693      0.116220138054E+03       0.952740807758E+00      0.755953073084E+00      0.880224827796E+00
1128744      0.116240354993E+03       0.955636454491E+00      0.754235737771E+00      0.880682370086E+00
1128794      0.116260339674E+03       0.958320615770E+00      0.752541581589E+00      0.881062734494E+00
1128843      0.116280167798E+03       0.960765208209E+00      0.751037533255E+00      0.881263285384E+00
1128892      0.116300299627E+03       0.963002416983E+00      0.749852171961E+00      0.881280600650E+00
1128940      0.116320369390E+03       0.964973590267E+00      0.749089238113E+00      0.881147716782E+00
1128988      0.116340206655E+03       0.966663722097E+00      0.748721337853E+00      0.880848335964E+00
1129037      0.116360315685E+03       0.968124435759E+00      0.748685826831E+00      0.880377863219E+00
1129085      0.116380057698E+03       0.969315558890E+00      0.748933423946E+00      0.879823349478E+00
1129133      0.116400004149E+03       0.970269298020E+00      0.749414860968E+00      0.879229633551E+00
1129181      0.116420059679E+03       0.970976467156E+00      0.750027258998E+00      0.878601881117E+00
1129229      0.116440191598E+03       0.971437412855E+00      0.750642696897E+00      0.877860572404E+00
1129278      0.116460377696E+03       0.971674638235E+00      0.751182519433E+00      0.876900132031E+00
1129327      0.116480216337E+03       0.971743150397E+00      0.751597204246E+00      0.875668863099E+00
1129377      0.116500353110E+03       0.971707189589E+00      0.751861322154E+00      0.874096671462E+00
1129426      0.116520173207E+03       0.971631537182E+00      0.751950098506E+00      0.872267264203E+00
1129475      0.116540187767E+03       0.971576484630E+00      0.751875727116E+00      0.870209603569E+00
1129523      0.116560089163E+03       0.971577243089E+00      0.751657024631E+00      0.868023976246E+00
1129571      0.116580371765E+03       0.971637469030E+00      0.751282610259E+00      0.865730676270E+00
1129617      0.116600260933E+03       0.971740895199E+00      0.750746676086E+00      0.863506033932E+00
1129662      0.116620186998E+03       0.971877219399E+00      0.750029555697E+00      0.861402947402E+00
1129706      0.116640068504E+03       0.972044482789E+00      0.749160252074E+00      0.859524525324E+00
1129751      0.116660236788E+03       0.972248270555E+00      0.748179686175E+00      0.857886449415E+00
1129796      0.116680087627E+03       0.972473042443E+00      0.747173341257E+00      0.856518646786E+00
1129842      0.116700407748E+03       0.972711897695E+00      0.746146085752E+00      0.855326130643E+00
1129886      0.116720161158E+03       0.972946358492E+00      0.745171860007E+00      0.854336443283E+00
1129930      0.116740311028E+03       0.973186014108E+00      0.744194624599E+00      0.853482100766E+00
1129973      0.116760081367E+03       0.973421365536E+00      0.743216240040E+00      0.852799034560E+00
1130017      0.116780327201E+03       0.973668817599E+00      0.742153225664E+00      0.852265928459E+00
1130061      0.116800414246E+03       0.973928980799E+00      0.741011789009E+00      0.851886699617E+00
1130105      0.116820001616E+03       0.974192267825E+00      0.739812634960E+00      0.851615018079E+00
1130151      0.116840082661E+03       0.974458301664E+00      0.738524089995E+00      0.851376501563E+00
1130198      0.116860256387E+03       0.974722915746E+00      0.737228667176E+00      0.851136734915E+00
1130246      0.116880255669E+03       0.975002216194E+00      0.736009658361E+00      0.850913238719E+00
1130295      0.116900139614E+03       0.975323425445E+00      0.734907181449E+00      0.850759946425E+00
1130345      0.116920122828E+03       0.975715921888E+00      0.733934976966E+00      0.850730634769E+00
1130396      0.116940386272E+03       0.976203332941E+00      0.733104616536E+00      0.850851196521E+00
1130445      0.116960147914E+03       0.976768598786E+00      0.732447478815E+00      0.851098672904E+00
1130493      0.116980069875E+03       0.977419541041E+00      0.731918477813E+00      0.851446066835E+00
1130540      0.117000181128E+03       0.978150198389E+00      0.731489502115E+00      0.851852252071E+00
1130585      0.117020078553E+03       0.978946393654E+00      0.731156723716E+00      0.852255123374E+00
1130630      0.117040266964E+03       0.979838497620E+00      0.730937591055E+00      0.852614535930E+00
1130674      0.117060073041E+03       0.980804731776E+00      0.730884534302E+00      0.852897201540E+00
1130718      0.117080071780E+03       0.981876672697E+00      0.731041205800E+00      0.853148216620E+00
1130762      0.117100374191E+03       0.983074569013E+00      0.731460462606E+00      0.853463663984E+00
1130804      0.117120137535E+03       0.984366152664E+00      0.732151527012E+00      0.853924608512E+00
