#------------------------------------------------------------------------------
# RUNTIME LES STATISTICAL DATA
#
# Simulation run at:
# 08/31/2017  16:22:58
#
# Field description:
# N         =        256       256       256
# length    =   6.283185  6.283185  6.283185
# nu        =   0.002800
# CFL       =   0.100000
# sgs model =      NONE 
# model c   =   0.200000
#------------------------------------------------------------------------------
# step                     time                      tke
1120813      0.114108790616E+03       0.300323767106E+01
1120873      0.114120095706E+03       0.298860254173E+01
1120976      0.114140055110E+03       0.296275989891E+01
1121076      0.114160065372E+03       0.293685136312E+01
1121174      0.114180078759E+03       0.291094470040E+01
1121269      0.114200018865E+03       0.288514533066E+01
1121362      0.114220171375E+03       0.285909200023E+01
1121454      0.114240124122E+03       0.283332561608E+01
1121550      0.114260095245E+03       0.280757041126E+01
1121649      0.114280164352E+03       0.278172993643E+01
1121750      0.114300038093E+03       0.275618945978E+01
1121854      0.114320104579E+03       0.273045979684E+01
1121959      0.114340166782E+03       0.270480612722E+01
1122060      0.114360079048E+03       0.267942561320E+01
1122157      0.114380162769E+03       0.265391737549E+01
1122250      0.114400201094E+03       0.262856102542E+01
1122342      0.114420007327E+03       0.260359020321E+01
1122437      0.114440002940E+03       0.257847215743E+01
1122535      0.114460175394E+03       0.255322459997E+01
1122630      0.114480176147E+03       0.252828318966E+01
1122721      0.114500179176E+03       0.250342956706E+01
1122810      0.114520145218E+03       0.247871320793E+01
1122897      0.114540017165E+03       0.245420657731E+01
1122984      0.114560191188E+03       0.242942734298E+01
1123068      0.114580201911E+03       0.240495222398E+01
1123150      0.114600122277E+03       0.238069225699E+01
1123230      0.114620106563E+03       0.235646205526E+01
1123311      0.114640107636E+03       0.233232296738E+01
1123399      0.114660120084E+03       0.230828561159E+01
1123492      0.114680201133E+03       0.228428622146E+01
1123585      0.114700001849E+03       0.226074484793E+01
1123678      0.114720008794E+03       0.223708683137E+01
1123768      0.114740035223E+03       0.221353823637E+01
1123859      0.114760210289E+03       0.218995096220E+01
1123950      0.114780166251E+03       0.216675664413E+01
1124038      0.114800053689E+03       0.214378110546E+01
1124122      0.114820090541E+03       0.212077805751E+01
1124205      0.114840158805E+03       0.209788937241E+01
1124286      0.114860049822E+03       0.207535615442E+01
1124367      0.114880027770E+03       0.205288324453E+01
1124449      0.114900043294E+03       0.203053161259E+01
1124528      0.114920193803E+03       0.200819696532E+01
1124607      0.114940145797E+03       0.198625051674E+01
1124687      0.114960135377E+03       0.196443272388E+01
1124766      0.114980049302E+03       0.194286760150E+01
1124844      0.115000193434E+03       0.192122584115E+01
1124919      0.115020007290E+03       0.190010815184E+01
1124995      0.115040257340E+03       0.187869912010E+01
1125069      0.115060256232E+03       0.185772710592E+01
1125141      0.115080051258E+03       0.183713505068E+01
1125218      0.115100096542E+03       0.181645093177E+01
1125299      0.115120237738E+03       0.179584069046E+01
1125378      0.115140013101E+03       0.177577610353E+01
1125456      0.115160206375E+03       0.175546469440E+01
1125530      0.115180228967E+03       0.173550325371E+01
1125600      0.115200088413E+03       0.171588135195E+01
1125669      0.115220206227E+03       0.169618609304E+01
1125738      0.115240267180E+03       0.167673210740E+01
1125806      0.115260222263E+03       0.165756814897E+01
1125873      0.115280135443E+03       0.163863321215E+01
1125940      0.115300135745E+03       0.161980638928E+01
1126007      0.115320183799E+03       0.160112697638E+01
1126074      0.115340156941E+03       0.158270956826E+01
1126141      0.115360199650E+03       0.156442325859E+01
1126207      0.115380029582E+03       0.154652738154E+01
1126273      0.115400137797E+03       0.152858381288E+01
1126341      0.115420027491E+03       0.151104005997E+01
1126412      0.115440002984E+03       0.149362792978E+01
1126484      0.115460137397E+03       0.147628845658E+01
1126555      0.115480151141E+03       0.145926254121E+01
1126625      0.115500236089E+03       0.144238502134E+01
1126692      0.115520222368E+03       0.142579681975E+01
1126757      0.115540032776E+03       0.140955627190E+01
1126824      0.115560092204E+03       0.139331492999E+01
1126891      0.115580106190E+03       0.137731364684E+01
1126957      0.115600003802E+03       0.136160672746E+01
1127023      0.115620309033E+03       0.134578554378E+01
1127086      0.115640200123E+03       0.133049053691E+01
1127148      0.115660327810E+03       0.131521795707E+01
1127208      0.115680187231E+03       0.130034917135E+01
1127269      0.115700307296E+03       0.128548673981E+01
1127329      0.115720054101E+03       0.127109595249E+01
1127390      0.115740132235E+03       0.125666154440E+01
1127451      0.115760269372E+03       0.124238470555E+01
1127511      0.115780203714E+03       0.122844949797E+01
1127570      0.115800005362E+03       0.121480260070E+01
1127629      0.115820076353E+03       0.120116863414E+01
1127687      0.115840185667E+03       0.118770702630E+01
1127743      0.115860071575E+03       0.117458645054E+01
1127799      0.115880184407E+03       0.116150512238E+01
1127854      0.115900283710E+03       0.114861815592E+01
1127907      0.115920244957E+03       0.113600023862E+01
1127960      0.115940254947E+03       0.112353012744E+01
1128013      0.115960178059E+03       0.111129045869E+01
1128066      0.115980180306E+03       0.109917794647E+01
1128119      0.116000201174E+03       0.108722952051E+01
1128172      0.116020093787E+03       0.107553065686E+01
1128226      0.116040331639E+03       0.106380506591E+01
1128279      0.116060163495E+03       0.105248647264E+01
1128333      0.116080334616E+03       0.104114768776E+01
1128386      0.116100200422E+03       0.103015006542E+01
1128439      0.116120299672E+03       0.101919224591E+01
1128491      0.116140330634E+03       0.100843781006E+01
1128542      0.116160393334E+03       0.997828962429E+00
1128592      0.116180224716E+03       0.987498652836E+00
1128643      0.116200379562E+03       0.977155511639E+00
1128693      0.116220138054E+03       0.967165287251E+00
1128744      0.116240354993E+03       0.957094065836E+00
1128794      0.116260339674E+03       0.947286221384E+00
1128843      0.116280167798E+03       0.937697991833E+00
1128892      0.116300299627E+03       0.928105742915E+00
1128940      0.116320369390E+03       0.918683362106E+00
1128988      0.116340206655E+03       0.909504810036E+00
1129037      0.116360315685E+03       0.900334367417E+00
1129085      0.116380057698E+03       0.891460035621E+00
1129133      0.116400004149E+03       0.882621325893E+00
1129181      0.116420059679E+03       0.873861709713E+00
1129229      0.116440191598E+03       0.865195487934E+00
1129278      0.116460377696E+03       0.856631591566E+00
1129327      0.116480216337E+03       0.848335666679E+00
1129377      0.116500353110E+03       0.840035029193E+00
1129426      0.116520173207E+03       0.831980591718E+00
1129475      0.116540187767E+03       0.823961141420E+00
1129523      0.116560089163E+03       0.816098226001E+00
1129571      0.116580371765E+03       0.808196311309E+00
1129617      0.116600260933E+03       0.800554705977E+00
1129662      0.116620186998E+03       0.793002920078E+00
1129706      0.116640068504E+03       0.785569665422E+00
1129751      0.116660236788E+03       0.778130999618E+00
1129796      0.116680087627E+03       0.770907862115E+00
1129842      0.116700407748E+03       0.763613538362E+00
1129886      0.116720161158E+03       0.756617783222E+00
1129930      0.116740311028E+03       0.749576854173E+00
1129973      0.116760081367E+03       0.742760649301E+00
1130017      0.116780327201E+03       0.735873552584E+00
1130061      0.116800414246E+03       0.729131926118E+00
1130105      0.116820001616E+03       0.722644176634E+00
1130151      0.116840082661E+03       0.716079731919E+00
1130198      0.116860256387E+03       0.709572113573E+00
1130246      0.116880255669E+03       0.703205774188E+00
1130295      0.116900139614E+03       0.696959044126E+00
1130345      0.116920122828E+03       0.690763459919E+00
1130396      0.116940386272E+03       0.684564286377E+00
1130445      0.116960147914E+03       0.678598374617E+00
1130493      0.116980069875E+03       0.672662634207E+00
1130540      0.117000181128E+03       0.666749236974E+00
1130585      0.117020078553E+03       0.660975176398E+00
1130630      0.117040266964E+03       0.655192860170E+00
1130674      0.117060073041E+03       0.649593053651E+00
1130718      0.117080071780E+03       0.644010567935E+00
1130762      0.117100374191E+03       0.638415578940E+00
1130804      0.117120137535E+03       0.633037737393E+00
