#------------------------------------------------------------------------------
# RUNTIME LES STATISTICAL DATA
#
# Simulation run at:
# 08/31/2017  16:22:58
#
# Field description:
# N         =        256       256       256
# length    =   6.283185  6.283185  6.283185
# nu        =   0.002800
# CFL       =   0.100000
# sgs model =      NONE 
# model c   =   0.200000
#------------------------------------------------------------------------------
# step                     time                     urms
1120813      0.114108790616E+03       0.141497648298E+01
1120873      0.114120095706E+03       0.141152459932E+01
1120976      0.114140055110E+03       0.140540857616E+01
1121076      0.114160065372E+03       0.139925012372E+01
1121174      0.114180078759E+03       0.139306489449E+01
1121269      0.114200018865E+03       0.138687786789E+01
1121362      0.114220171375E+03       0.138060180120E+01
1121454      0.114240124122E+03       0.137436667016E+01
1121550      0.114260095245E+03       0.136810584660E+01
1121649      0.114280164352E+03       0.136179536799E+01
1121750      0.114300038093E+03       0.135552928403E+01
1121854      0.114320104579E+03       0.134918735957E+01
1121959      0.114340166782E+03       0.134283434750E+01
1122060      0.114360079048E+03       0.133651926366E+01
1122157      0.114380162769E+03       0.133014219177E+01
1122250      0.114400201094E+03       0.132377264549E+01
1122342      0.114420007327E+03       0.131746984866E+01
1122437      0.114440002940E+03       0.131109932434E+01
1122535      0.114460175394E+03       0.130466460568E+01
1122630      0.114480176147E+03       0.129827659859E+01
1122721      0.114500179176E+03       0.129187965566E+01
1122810      0.114520145218E+03       0.128548647288E+01
1122897      0.114540017165E+03       0.127911599091E+01
1122984      0.114560191188E+03       0.127264222335E+01
1123068      0.114580201911E+03       0.126621541716E+01
1123150      0.114600122277E+03       0.125981275248E+01
1123230      0.114620106563E+03       0.125338529731E+01
1123311      0.114640107636E+03       0.124694906803E+01
1123399      0.114660120084E+03       0.124050678128E+01
1123492      0.114680201133E+03       0.123404111802E+01
1123585      0.114700001849E+03       0.122766576557E+01
1123678      0.114720008794E+03       0.122122529490E+01
1123768      0.114740035223E+03       0.121478070349E+01
1123859      0.114760210289E+03       0.120829106929E+01
1123950      0.114780166251E+03       0.120187538015E+01
1124038      0.114800053689E+03       0.119548626242E+01
1124122      0.114820090541E+03       0.118905510315E+01
1124205      0.114840158805E+03       0.118262120518E+01
1124286      0.114860049822E+03       0.117625285105E+01
1124367      0.114880027770E+03       0.116986701368E+01
1124449      0.114900043294E+03       0.116348087295E+01
1124528      0.114920193803E+03       0.115706437888E+01
1124607      0.114940145797E+03       0.115072455921E+01
1124687      0.114960135377E+03       0.114438709182E+01
1124766      0.114980049302E+03       0.113808833913E+01
1124844      0.115000193434E+03       0.113173195918E+01
1124919      0.115020007290E+03       0.112549489910E+01
1124995      0.115040257340E+03       0.111913630987E+01
1125069      0.115060256232E+03       0.111287229154E+01
1125141      0.115080051258E+03       0.110668726407E+01
1125218      0.115100096542E+03       0.110043958846E+01
1125299      0.115120237738E+03       0.109417874544E+01
1125378      0.115140013101E+03       0.108804905022E+01
1125456      0.115160206375E+03       0.108180857654E+01
1125530      0.115180228967E+03       0.107564035306E+01
1125600      0.115200088413E+03       0.106954237939E+01
1125669      0.115220206227E+03       0.106338644372E+01
1125738      0.115240267180E+03       0.105727073398E+01
1125806      0.115260222263E+03       0.105121141197E+01
1125873      0.115280135443E+03       0.104519000255E+01
1125940      0.115300135745E+03       0.103916838202E+01
1126007      0.115320183799E+03       0.103315922502E+01
1126074      0.115340156941E+03       0.102719993778E+01
1126141      0.115360199650E+03       0.102124866661E+01
1126207      0.115380029582E+03       0.101539069050E+01
1126273      0.115400137797E+03       0.100948297423E+01
1126341      0.115420027491E+03       0.100367327352E+01
1126412      0.115440002984E+03       0.997873716052E+00
1126484      0.115460137397E+03       0.992064667442E+00
1126555      0.115480151141E+03       0.986327376758E+00
1126625      0.115500236089E+03       0.980606962156E+00
1126692      0.115520222368E+03       0.974951903003E+00
1126757      0.115540032776E+03       0.969383402615E+00
1126824      0.115560092204E+03       0.963782454703E+00
1126891      0.115580106190E+03       0.958232277629E+00
1126957      0.115600003802E+03       0.952752758225E+00
1127023      0.115620309033E+03       0.947201331565E+00
1127086      0.115640200123E+03       0.941803424964E+00
1127148      0.115660327810E+03       0.936382385235E+00
1127208      0.115680187231E+03       0.931074351256E+00
1127269      0.115700307296E+03       0.925738170259E+00
1127329      0.115720054101E+03       0.920541852206E+00
1127390      0.115740132235E+03       0.915300149094E+00
1127451      0.115760269372E+03       0.910085968667E+00
1127511      0.115780203714E+03       0.904967586147E+00
1127570      0.115800005362E+03       0.899926886178E+00
1127629      0.115820076353E+03       0.894862609245E+00
1127687      0.115840185667E+03       0.889834076780E+00
1127743      0.115860071575E+03       0.884905437713E+00
1127799      0.115880184407E+03       0.879964060772E+00
1127854      0.115900283710E+03       0.875068818598E+00
1127907      0.115920244957E+03       0.870249097910E+00
1127960      0.115940254947E+03       0.865459464655E+00
1128013      0.115960178059E+03       0.860732424042E+00
1128066      0.115980180306E+03       0.856028794870E+00
1128119      0.116000201174E+03       0.851363424363E+00
1128172      0.116020093787E+03       0.846770593434E+00
1128226      0.116040331639E+03       0.842142136026E+00
1128279      0.116060163495E+03       0.837650075166E+00
1128333      0.116080334616E+03       0.833125715909E+00
1128386      0.116100200422E+03       0.828713889277E+00
1128439      0.116120299672E+03       0.824294545218E+00
1128491      0.116140330634E+03       0.819934066478E+00
1128542      0.116160393334E+03       0.815609776968E+00
1128592      0.116180224716E+03       0.811376876195E+00
1128643      0.116200379562E+03       0.807116477195E+00
1128693      0.116220138054E+03       0.802979986156E+00
1128744      0.116240354993E+03       0.798788276427E+00
1128794      0.116260339674E+03       0.794684936053E+00
1128843      0.116280167798E+03       0.790652891322E+00
1128892      0.116300299627E+03       0.786598475681E+00
1128940      0.116320369390E+03       0.782595409351E+00
1128988      0.116340206655E+03       0.778676145791E+00
1129037      0.116360315685E+03       0.774740544706E+00
1129085      0.116380057698E+03       0.770912894181E+00
1129133      0.116400004149E+03       0.767081623598E+00
1129181      0.116420059679E+03       0.763265663542E+00
1129229      0.116440191598E+03       0.759471521491E+00
1129278      0.116460377696E+03       0.755703465462E+00
1129327      0.116480216337E+03       0.752035312415E+00
1129377      0.116500353110E+03       0.748347080435E+00
1129426      0.116520173207E+03       0.744750782351E+00
1129475      0.116540187767E+03       0.741152769416E+00
1129523      0.116560089163E+03       0.737607947355E+00
1129571      0.116580371765E+03       0.734028297052E+00
1129617      0.116600260933E+03       0.730549886947E+00
1129662      0.116620186998E+03       0.727096013870E+00
1129706      0.116640068504E+03       0.723680254174E+00
1129751      0.116660236788E+03       0.720245791203E+00
1129796      0.116680087627E+03       0.716895093262E+00
1129842      0.116700407748E+03       0.713495404499E+00
1129886      0.116720161158E+03       0.710219582581E+00
1129930      0.116740311028E+03       0.706907280187E+00
1129973      0.116760081367E+03       0.703685843400E+00
1130017      0.116780327201E+03       0.700415853896E+00
1130061      0.116800414246E+03       0.697200079422E+00
1130105      0.116820001616E+03       0.694091337234E+00
1130151      0.116840082661E+03       0.690931608733E+00
1130198      0.116860256387E+03       0.687784905123E+00
1130246      0.116880255669E+03       0.684692521836E+00
1130295      0.116900139614E+03       0.681644601498E+00
1130345      0.116920122828E+03       0.678608114658E+00
1130396      0.116940386272E+03       0.675556208555E+00
1130445      0.116960147914E+03       0.672606063317E+00
1130493      0.116980069875E+03       0.669657939651E+00
1130540      0.117000181128E+03       0.666707950542E+00
1130585      0.117020078553E+03       0.663814821768E+00
1130630      0.117040266964E+03       0.660904864647E+00
1130674      0.117060073041E+03       0.658074491048E+00
1130718      0.117080071780E+03       0.655240702813E+00
1130762      0.117100374191E+03       0.652388217214E+00
1130804      0.117120137535E+03       0.649634634438E+00
