#------------------------------------------------------------------------------
# RUNTIME LES STATISTICAL DATA
#
# Simulation run at:
# 08/31/2017  16:22:58
#
# Field description:
# N         =        256       256       256
# length    =   6.283185  6.283185  6.283185
# nu        =   0.002800
# CFL       =   0.100000
# sgs model =      NONE 
# model c   =   0.200000
#------------------------------------------------------------------------------
# step                     time                    <u^2>                   <v^2>                   <w^2>
1120813      0.114108790616E+03       0.197659002296E+01      0.188770668986E+01      0.214217862930E+01
1120873      0.114120095706E+03       0.196775238592E+01      0.188028813141E+01      0.212916456613E+01
1120976      0.114140055110E+03       0.195222582287E+01      0.186748895390E+01      0.210580502104E+01
1121076      0.114160065372E+03       0.193690139814E+01      0.185476756031E+01      0.208203376778E+01
1121174      0.114180078759E+03       0.192187331031E+01      0.184199020845E+01      0.205802588205E+01
1121269      0.114200018865E+03       0.190713761204E+01      0.182920301277E+01      0.203395003652E+01
1121362      0.114220171375E+03       0.189233469118E+01      0.181629540314E+01      0.200955390615E+01
1121454      0.114240124122E+03       0.187759296476E+01      0.180359518464E+01      0.198546308277E+01
1121550      0.114260095245E+03       0.186273454001E+01      0.179094472882E+01      0.196146155369E+01
1121649      0.114280164352E+03       0.184781200083E+01      0.177824467603E+01      0.193740319600E+01
1121750      0.114300038093E+03       0.183308114406E+01      0.176565523639E+01      0.191364253911E+01
1121854      0.114320104579E+03       0.181820828550E+01      0.175286289360E+01      0.188984841458E+01
1121959      0.114340166782E+03       0.180332040705E+01      0.173987206018E+01      0.186641978722E+01
1122060      0.114360079048E+03       0.178856258855E+01      0.172672417096E+01      0.184356446688E+01
1122157      0.114380162769E+03       0.177369901140E+01      0.171329469554E+01      0.182084104404E+01
1122250      0.114400201094E+03       0.175882820062E+01      0.169990818319E+01      0.179838566703E+01
1122342      0.114420007327E+03       0.174401362519E+01      0.168684244035E+01      0.177632434087E+01
1122437      0.114440002940E+03       0.172889116679E+01      0.167386115441E+01      0.175419199366E+01
1122535      0.114460175394E+03       0.171347469255E+01      0.166091255136E+01      0.173206195603E+01
1122630      0.114480176147E+03       0.169807381719E+01      0.164810364813E+01      0.171038891400E+01
1122721      0.114500179176E+03       0.168261341675E+01      0.163519701414E+01      0.168904870323E+01
1122810      0.114520145218E+03       0.166717472694E+01      0.162211588025E+01      0.166813580867E+01
1122897      0.114540017165E+03       0.165181130035E+01      0.160887408402E+01      0.164772777026E+01
1122984      0.114560191188E+03       0.163622496239E+01      0.159523224566E+01      0.162739747790E+01
1123068      0.114580201911E+03       0.162082543155E+01      0.158150937219E+01      0.160756964423E+01
1123150      0.114600122277E+03       0.160558473435E+01      0.156766484622E+01      0.158813493340E+01
1123230      0.114620106563E+03       0.159035720360E+01      0.155362626985E+01      0.156894063706E+01
1123311      0.114640107636E+03       0.157512239783E+01      0.153948033247E+01      0.155004320447E+01
1123399      0.114660120084E+03       0.155989358702E+01      0.152523236003E+01      0.153144527613E+01
1123492      0.114680201133E+03       0.154472179334E+01      0.151071962998E+01      0.151313101961E+01
1123585      0.114700001849E+03       0.152989633013E+01      0.149611469238E+01      0.149547867336E+01
1123678      0.114720008794E+03       0.151504416583E+01      0.148104961429E+01      0.147807988261E+01
1123768      0.114740035223E+03       0.150035081517E+01      0.146561804549E+01      0.146110761208E+01
1123859      0.114760210289E+03       0.148577443139E+01      0.144970136067E+01      0.144442613233E+01
1123950      0.114780166251E+03       0.147161841724E+01      0.143362853720E+01      0.142826633383E+01
1124038      0.114800053689E+03       0.145779170401E+01      0.141736839743E+01      0.141240210948E+01
1124122      0.114820090541E+03       0.144411400329E+01      0.140087337319E+01      0.139656873853E+01
1124205      0.114840158805E+03       0.143057978986E+01      0.138437682232E+01      0.138082213265E+01
1124286      0.114860049822E+03       0.141723813753E+01      0.136813838289E+01      0.136533578842E+01
1124367      0.114880027770E+03       0.140387497438E+01      0.135196634237E+01      0.134992517231E+01
1124449      0.114900043294E+03       0.139050193876E+01      0.133590155617E+01      0.133465973026E+01
1124528      0.114920193803E+03       0.137700378062E+01      0.131989220313E+01      0.131949794689E+01
1124607      0.114940145797E+03       0.136355538923E+01      0.130424785295E+01      0.130469779131E+01
1124687      0.114960135377E+03       0.134997221407E+01      0.128881583819E+01      0.129007739549E+01
1124766      0.114980049302E+03       0.133632542585E+01      0.127370668531E+01      0.127570309184E+01
1124844      0.115000193434E+03       0.132241690047E+01      0.125871986596E+01      0.126131491588E+01
1124919      0.115020007290E+03       0.130866421088E+01      0.124429542723E+01      0.124725666557E+01
